timestamp,A_rate,A_CH4,A_C2H6,A_C3H8,A_iC4H10,A_nC4H10,A_iC5H12,A_nC5H12,A_C6H14,B_rate
2020-01-01 00:00:00,70.85501687242802,,,,,,,,,71.98278909696214
2020-01-01 00:30:00,70.82658197530857,,,,,,,,,71.96509827160494
2020-01-01 01:00:00,70.80963734567905,,,,,,,,,71.86740946502059
2020-01-01 01:30:00,69.99474823045267,,,,,,,,,71.83912609053496
2020-01-01 02:00:00,70.07276181069959,,,,,,,,,71.3369209876543
2020-01-01 02:30:00,69.99838096707822,,,,,,,,,71.3178414814815
2020-01-01 03:00:00,69.92934125514402,,,,,,,,,71.16039777777782
2020-01-01 03:30:00,70.28620769547318,,,,,,,,,71.11152740740741
2020-01-01 04:00:00,70.52113314814814,,,,,,,,,71.21707037037035
2020-01-01 04:30:00,71.05579234636296,0.1262443,5.242956666666667,41.941480000000006,17.06421333333333,23.20595333333333,4.184847666666667,4.062079333333333,4.11017,71.38967407407408
2020-01-01 05:00:00,71.0298811934156,0.11130129999999999,4.632454999999999,39.19833,17.440244999999997,24.331519999999998,4.615703,4.5457025,5.072316000000001,71.79250592592591
2020-01-01 05:30:00,71.00888446502059,0.12517636,4.7309326,37.874656,17.353362000000004,24.567692,4.8479114,4.8189126,5.6269754,71.93955827160488
2020-01-01 06:00:00,71.060108909465,0.14154609999999998,5.214231333333333,39.76349333333334,17.098163333333336,23.75824,4.512244333333332,4.429068000000001,5.0212069999999995,72.12468962962964
2020-01-01 06:30:00,71.06786460905353,0.1439113,5.440833333333333,41.61651,16.96478666666667,23.121613333333332,4.2126356666666664,4.088066333333333,4.347822333333333,72.27828831275721
2020-01-01 07:00:00,70.98086561728394,0.12820766666666666,5.098310000000001,41.39483,17.190316666666664,23.393416666666667,4.245694333333333,4.132244666666668,4.3599025,72.45409037037034
2020-01-01 07:30:00,70.9741415432099,0.11315596666666666,4.5085076666666675,37.855756666666665,17.476940000000003,24.61764666666667,4.811406666666667,4.786933333333334,5.7791950000000005,72.2909414814815
